Gehirnerschütterung;Zufälliger Mittelfeldspieler fällt nächstes Spiel aus;Ein Mittelfeldspieler hat im Kopfballduell gewonnen, aber gegen die Physik verloren. Er fällt für das nächste Spiel aus.
Schlägerei am Spielfeldrand;Alle Key-Staff-Boni fallen nächstes Spiel weg;Der Staff wollte schlichten und war plötzlich mittendrin. Im nächsten Spiel zählen keine Key-Staff-Boni.
Financial Foul Play;-30 Mio.;Die Buchhaltung hatte kreative Momente. Der Verband leider auch. Strafe: -30 Mio.
Neuer Dünger für das Stadion;-10 Mio.;Der Rasen sieht aus wie ein Parkplatz nach Rock am Ring. Neuer Dünger muss her: -10 Mio.
Steuerhinterziehung – falsche Angaben;Spieler im Wert von 4 Stärkepunkten entlassen, keine Ausgleichszahlung;Der Finanzprüfer hat gefragt, warum der Busfahrer als Linksverteidiger geführt wird. Entlasse Spieler im Wert von 4 Stärkepunkten ohne Ausgleichszahlung.
Mario-Kart-Unfall;Linker Verteidiger fällt nächstes Spiel aus;Der linke Verteidiger ist auf einer Bananenschale ausgerutscht. Niemand weiß, warum die im Kabinengang lag.
Platzwunde – Sprung gegen Pfosten;Keeper fällt nächstes Spiel aus;Der Keeper wollte beim Training besonders motiviert wirken und ist gegen den Pfosten gesprungen. Platzwunde. Fällt ein Spiel aus.
Pressekonferenz des Grauens;-1 Statuslevel;Der Trainer sagt auf die Frage zur Taktik nur: „Das müssen Sie die Mannschaft fragen.“ Die Presse liebt es. Ihr nicht. -1 Statuslevel.
Trainingsplatz gesperrt;Eine Trainingseinheit weniger;Die Stadt sperrt den Trainingsplatz wegen „unbekannter Bodenbewegungen“. Wahrscheinlich war es nur euer Sechser. Eine Trainingseinheit weniger.
Kabinenmusik-Krise;-1 Teamchemie / nächstes Spiel -1 auf beliebigen Bereich;Die Mannschaft zerstreitet sich über die Playlist. Deutschrap gegen Ballermann endet taktisch unsauber. -1 auf Defence, Midfield oder Attack im nächsten Spiel.
Berater dreht durch;Nächste Vertragsverlängerung kostet +10 Mio.;Ein Berater hat gelernt, dass man „marktgerecht“ sagen kann, wenn man „viel zu teuer“ meint. Nächste Vertragsverlängerung kostet +10 Mio.
